Manufacturer,Model,Year,Mileage,Condition,Price
Ford,Silverado,2022,18107,Excellent,19094.75
Toyota,Silverado,2014,13578,Excellent,27321.1
Chevrolet,Civic,2016,46054,Good,23697.3
Ford,Civic,2022,34981,Excellent,18251.05
Chevrolet,Civic,2019,63565,Excellent,19821.85
Ford,Silverado,2013,23600,Excellent,27820
Toyota,Altima,2014,11470,Excellent,27426.6
Chevrolet,Silverado,2015,89471,Good,22526.55
Ford,Camry,2014,121298,Good,21935.1
Ford,Altima,2016,110691,Excellent,20465.45
Toyota,Altima,2019,112693,Excellent,17365.45
Nissan,Silverado,2016,101914,Good,20904.4
Toyota,Silverado,2012,79902,Excellent,26005
Chevrolet,Silverado,2021,97489,Excellent,16125.65
Toyota,F-150,2014,72976,Excellent,24351.3
Ford,F-150,2022,40633,Good,17968.35
Chevrolet,F-150,2017,48281,Fair,22586.05
Nissan,Altima,2020,33054,Good,20347.4
Chevrolet,Camry,2010,121446,Excellent,25927.8
Nissan,Civic,2013,61672,Good,25916.4
Ford,Silverado,2015,126395,Good,20680.35
Nissan,Camry,2021,119784,Excellent,15010.8
Chevrolet,Silverado,2014,148697,Good,20565.15
Nissan,Altima,2020,100665,Good,16966.65
Ford,Civic,2010,66951,Excellent,28652.45
Toyota,F-150,2017,65559,Excellent,21722.15
Ford,Silverado,2018,69109,Excellent,20544.55
Ford,Camry,2013,75631,Good,25218.55
Honda,Civic,2022,34080,Excellent,18296
Honda,F-150,2011,134672,Fair,24266.5
Honda,F-150,2011,54295,Excellent,28285.25
Ford,Altima,2022,20693,Excellent,18965.45
Honda,Camry,2010,63740,Excellent,28813.1
Toyota,Silverado,2019,117503,Good,17124.95
Chevrolet,Camry,2017,81466,Excellent,20926.8
Chevrolet,Altima,2013,106330,Excellent,23683.4
Chevrolet,F-150,2020,43785,Excellent,19810.75
Chevrolet,Silverado,2013,102118,Excellent,23894.1
Nissan,Camry,2013,96202,Excellent,24189.9
Chevrolet,Civic,2019,133627,Fair,16318.75
Toyota,Civic,2020,131994,Excellent,15400.4
Ford,Camry,2022,38705,Fair,18064.85
Toyota,Camry,2021,139945,Good,14002.85
Honda,Silverado,2016,69108,Fair,22544.7
Nissan,F-150,2011,17149,Good,30142.65
Toyota,F-150,2013,53165,Fair,26341.85
Ford,Camry,2010,105649,Excellent,26717.55
Toyota,Altima,2014,72408,Good,24379.6
Toyota,Civic,2014,88835,Good,23558.35
Honda,Civic,2022,17332,Excellent,19133.5
Toyota,F-150,2010,123884,Excellent,25805.7
Honda,Camry,2018,40238,Excellent,21988.2
Toyota,Altima,2021,36817,Excellent,19159.15
Toyota,Altima,2017,44880,Excellent,22756.1
Nissan,Silverado,2016,77083,Excellent,22145.85
Nissan,Altima,2011,33565,Excellent,29321.65
Ford,Camry,2012,36404,Excellent,28179.8
Toyota,Civic,2019,81972,Good,18901.5
Toyota,Civic,2018,90846,Good,19457.8
Ford,Camry,2015,11809,Fair,26409.65
Nissan,Silverado,2010,19317,Excellent,31034.15
Toyota,Silverado,2020,54542,Excellent,19272.9
Chevrolet,Camry,2019,16493,Excellent,22175.45
Honda,Civic,2012,99506,Excellent,25024.7
Ford,Camry,2012,38647,Fair,28067.75
Nissan,F-150,2018,103960,Excellent,18802.1
Ford,F-150,2017,132338,Excellent,18383.1
Honda,Silverado,2014,68639,Excellent,24568.15
Honda,Camry,2014,56311,Good,25184.35
Ford,Camry,2012,102278,Good,24886
Ford,Altima,2015,35930,Good,25203.5
Toyota,Civic,2016,96869,Fair,21156.45
Chevrolet,F-150,2010,87051,Good,27647.35
Ford,Camry,2020,46163,Excellent,19691.75
Honda,F-150,2017,119991,Good,19000.55
Ford,Altima,2017,135196,Good,18240.3
Nissan,Altima,2018,23116,Excellent,22844.3
Chevrolet,Altima,2018,66236,Excellent,20688.2
Toyota,F-150,2010,144751,Excellent,24762.45
